utc_date_time,algorithm,function,dimension,generations,evaluations,seed,run,best_fitness,kg_carbon,total_power,pue,country_code,median_carbon_cost,lower_carbon_cost,upper_carbon_cost
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,IND,1.561261941372293e-06,9.050048614661165e-07,2.8740047545597973e-06
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,FRA,-2.0148047662058032e-08,-7.773023391448368e-08,4.80251845177997e-08
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,GBR,-6.976493544363857e-08,-1.2171702191748248e-07,-1.431934354744533e-08
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,AUS,9.404062323833504e-08,3.848054534511378e-08,1.6997387595247712e-07
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,DEU,-9.231132120465531e-08,-1.5471586416524295e-07,-2.9453724290158308e-08
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,MAR,1.0661318665672963e-08,5.417460624295109e-09,1.8039291085858294e-08
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,BRA,4.433786538823131e-07,2.5622149249223786e-07,7.538995979934442e-07
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,NOR,-3.115262430510538e-08,-4.1170397515152304e-08,-2.194533330175646e-08
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,ISL,-1.5992661957257688e-09,-2.109608371005412e-09,-1.1735732493348896e-09
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,RUS,-2.0378810682415584e-07,-2.642832048118962e-07,-1.4616912565759503e-07
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,ZAF,6.05716910429143e-08,3.084862225376846e-08,1.026826390217855e-07
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,MEX,2.175923843034359e-07,1.1847379992252589e-07,3.6890575878319324e-07
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,JPN,1.0015109205534305e-07,4.725404326289355e-09,2.2801189324913195e-07
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,AGO,6.417767917639438e-08,3.657020051424037e-08,1.1306737941383898e-07
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,COD,5.917935251349091e-09,3.6690199600617433e-09,9.339309162741694e-09
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,USA,8.827738191042406e-07,1.0400316740008075e-08,2.1838290014068056e-06
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,ESP,6.316263524690144e-08,1.60373829814436e-08,1.2982427726079616e-07
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,CHL,-6.276528827359117e-09,-1.2053866852334325e-08,-5.43699822348211e-10
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,CHN,4.444458432131431e-07,7.996066605354626e-08,9.233410590502558e-07
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,CAN,-1.5169623502264626e-07,-2.0327768682621833e-07,-1.0065907198230353e-07
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,IND,1.5756843595754658e-06,9.133649951772451e-07,2.9005538539708387e-06
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,FRA,-2.0334168620789814e-08,-7.844827994560627e-08,4.846882518887853e-08
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,GBR,-7.040940069845744e-08,-1.2284140325671868e-07,-1.4451620877445853e-08
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,AUS,9.49093392176909e-08,3.883601581611339e-08,1.7154403804868893e-07
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,DEU,-9.31640624673615e-08,-1.5614507782665782e-07,-2.972580799251272e-08
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,MAR,1.0759804379260829e-08,5.467505322530774e-09,1.8205932053164737e-08
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,BRA,4.4747443832385905e-07,2.585883813655528e-07,7.608638715706943e-07
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,NOR,-3.1440401880378644e-08,-4.155071594527587e-08,-2.214805698706435e-08
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,ISL,-1.614039684582277e-09,-2.129096231027678e-09,-1.1844143284295909e-09
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,RUS,-2.0567063353128062e-07,-2.6672456510056217e-07,-1.475193873931581e-07
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,ZAF,6.113123216560793e-08,3.113359155926789e-08,1.0363118706675733e-07
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,MEX,2.1960243033164514e-07,1.1956822145636524e-07,3.723135874055021e-07
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,JPN,1.0107625451197541e-07,4.769056038770685e-09,2.301181912332138e-07
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,AGO,6.477053121733854e-08,3.690802385548359e-08,1.1411185823435635e-07
2021-01-23 02:25:39.592203,de,rosenbrock,10,500,200.0,26,26,1.059998018824324,4.685018155727449e-05,1.8459738269121994e-05,1.58,COD,5.9726031676240714e-09,3.702913145348312e-09,9.42558259252593e-09
2021-01-23 02:25:49.636862,de,rosenbrock,10,500,200.0,27,27,1.8297142321430773,4.4628755258399834e-05,1.7584459952190833e-05,1.58,USA,8.409166285335096e-07,9.907180185251373e-09,2.080281586760405e-06
2021-01-23 02:25:49.636862,de,rosenbrock,10,500,200.0,27,27,1.8297142321430773,4.4628755258399834e-05,1.7584459952190833e-05,1.58,ESP,6.016774527252293e-08,1.5276961930000052e-08,1.236685900435126e-07
2021-01-23 02:25:49.636862,de,rosenbrock,10,500,200.0,27,27,1.8297142321430773,4.4628755258399834e-05,1.7584459952190833e-05,1.58,CHL,-5.978923871747679e-09,-1.1482326338746895e-08,-5.179200058371209e-10
2021-01-23 02:25:49.636862,de,rosenbrock,10,500,200.0,27,27,1.8297142321430773,4.4628755258399834e-05,1.7584459952190833e-05,1.58,CHN,4.2337220695984023e-07,7.616928850616722e-08,8.795603512018241e-07
2021-01-23 02:25:49.636862,de,rosenbrock,10,500,200.0,27,27,1.8297142321430773,4.4628755258399834e-05,1.7584459952190833e-05,1.58,CAN,-1.4450347728471484e-07,-1.9363916709202846e-07,-9.588626849917407e-08
2021-01-23 02:25:49.636862,de,rosenbrock,10,500,200.0,27,27,1.8297142321430773,4.4628755258399834e-05,1.7584459952190833e-05,1.58,IND,1.5009724468626553e-06,8.700573077080335e-07,2.76302254889711e-06
